,s,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
67,2,26,97,0,13243.3,1770655,0,111.754,1,0,4631972.0,590705
68,2,27,96,0,11476.399999999994,1771095,0,107.209,1,0,3431083.0,590757
69,2,28,93,0,11295.950000000004,1770534,0,106.721,1,0,2954821.0,590688
70,2,29,95,0,13730.660000000007,1771128,0,106.107,1,0,3199741.0,590760
71,3,0,60,0,6722.0999999999985,1772285,0,107.7,1,0,2249201.0,590908
72,3,1,56,0,8726.419999999998,1771737,0,106.43,1,0,2661441.0,590839
73,3,2,52,0,7925.79,1771831,0,113.56,1,0,2072205.0,590864
74,3,3,53,0,8635.51,1772451,0,108.924,1,0,2173829.0,590932
75,3,4,59,0,9674.359999999999,1771903,0,109.813,1,0,2691689.0,590870
76,3,5,48,0,8229.800000000001,1772637,0,110.43,1,0,2430727.0,590930
77,3,6,43,0,6374.64,1771625,0,103.657,1,0,1804288.0,590827
78,3,7,57,0,11121.700000000003,1771577,0,107.19,1,0,2133517.0,590836
79,3,8,39,0,4636.19,1772076,0,107.389,1,0,1538351.0,590890
80,3,9,52,0,7418.160000000003,1772122,0,111.981,1,0,1843452.0,590885
81,3,10,52,0,7855.300000000003,1772162,0,108.853,1,0,1947818.0,590895
82,3,11,49,0,8009.64,1772422,0,105.949,1,0,2511287.0,590919
83,3,12,49,0,7820.749999999999,1772440,0,105.069,1,0,2354692.0,590912
84,3,13,53,0,10232.840000000004,1772176,0,108.011,1,0,2312585.0,590893
85,3,14,53,0,8953.07,1772262,0,105.763,1,0,2543235.0,590915
86,3,15,45,0,6107.86,1771971,0,106.698,1,0,1823127.0,590884
87,3,16,49,0,8504.55,1771631,0,107.815,1,0,3042324.0,590848
88,3,17,50,0,7823.489999999998,1771485,0,110.674,1,0,1901065.0,590834
89,3,18,46,0,5300.87,1772557,0,109.517,1,0,1367489.0,590944
90,3,19,42,0,4839.8,1772184,0,108.761,1,0,1238273.0,590900
91,3,20,45,0,7312.689999999999,1772074,0,113.957,1,0,1806443.0,590903
92,3,21,55,0,10469.029999999999,1771446,0,105.643,1,0,2009123.0,590812
93,3,22,35,0,5943.0999999999985,1772026,0,110.221,1,0,2066592.0,590875
94,3,23,52,0,6882.52,1772073,0,109.896,1,0,2006322.0,590892
95,3,24,52,0,7813.420000000003,1772305,0,109.065,1,0,2678998.0,590898
96,3,25,56,0,7148.0700000000015,1772153,0,107.032,1,0,1728741.0,590892
97,3,26,46,0,5343.610000000001,1772354,0,115.631,1,0,1395066.0,590906
98,3,27,50,0,8201.76,1771827,0,114.082,1,0,2204483.0,590867
99,3,28,45,0,7377.18,1772457,0,107.97,1,0,1908221.0,590934
100,3,29,45,0,8225.22,1771656,0,110.858,1,0,2192089.0,590855
101,4,0,17,0,2910.959999999999,1774011,0,105.148,1,0,935120.0,591092
102,4,1,30,0,3625.12,1773134,0,117.405,1,0,1196392.0,591037
103,4,2,26,0,5191.4400000000005,1773346,0,118.694,1,0,1390497.0,591023
104,4,3,25,0,4788.76,1773546,0,113.023,1,0,1119248.0,591038
