"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
0,1084.05598934971,1959.54050417089,4076.41961452622,921.596704222732,223.887271075473,677.690414635304,4821.83628312209,4319.45707562588,1115.7567238987,1427.58337033058,1633.81365741629,2206.69098647546,1519.10104220931,2435.43614253801,2999.96291290089,4930.00687084766,4563.28907538994,4563.28907538994,4756.96800485851,2568.73289434852,5325.61268168671,2502.60165691146,1610.90245830819,1761.87510569945,2295.63723913941,6211.00913145972,5224.11614233865,2367.05898016398,2367.05898016398,2367.05898016398,2484.75195417874,2723.3079846198,4296.10385578649,2069.36462499139,3255.04202082209,988.605656057625,543.294873017849,1393.80114669794,1116.82633674525,2400.8302438916,1783.23056876003,1408.20209323418,2015.32846572663,1416.49942858078,1478.5382650153,875.469323699311,1192.12451766144,1296.40214091664,5451.96067890966,4684.65246819372,2539.2657189033,906.612043253197,1712.64951318733,5448.44303611754,5386.04296352774,6282.81255227095
1084.05598934971,0,1665.90103330881,4809.23711315144,1131.33740612501,620.563094268001,1108.62423930361,5328.83866977966,3277.7512407473,1477.72333167202,2087.08789583314,2323.20448798826,2794.71563626411,1962.20817851907,1853.69329923915,2815.71815919552,5299.21559678783,4725.28429467734,4725.28429467734,5509.01349227597,3524.53156752363,5747.62105912158,3432.69030380246,1021.44243244217,2840.5741076857,1336.03892963652,6686.46496278935,5609.55704899637,2666.31223924173,2666.31223924173,2666.31223924173,3567.96207233282,3245.80737709368,5314.47777130941,2509.88915999817,3646.06771881556,1886.22772944848,1383.89467156391,894.982669924738,2066.78025513454,2938.06789653455,1968.57243815104,2484.28052106454,2781.78222180884,1852.176616455,1587.4608224455,428.780369908752,1970.63556967994,1292.69056487356,5968.33654501314,4757.36018456677,2638.10887937812,840.289117745837,923.40327485605,5863.79061138917,6239.76400302122,6763.78294798394
1959.54050417089,1665.90103330881,0,6030.24305736106,1063.72317222036,1997.58664674248,2466.17424822901,6762.28140354127,2920.33390271021,2925.29697156128,3374.17725505292,3588.76340292067,4149.9337628147,3394.84697019778,3479.12486030657,4480.43303929424,6822.62942087835,6337.65257632495,6337.65257632495,6704.38036607287,4407.98797843518,3566.0765321827,4385.76910560543,2681.12306749878,3146.1508682662,2711.81819720259,4527.83033841696,3407.19436310447,4198.18004436046,4198.18004436046,4198.18004436046,3562.08025685972,1396.77624285441,4440.55551974469,3961.50764195219,5145.02392481527,2939.76595703016,1698.09225145358,771.091136225435,1185.09331783705,4333.33280248253,3529.18606650704,1551.96086935793,3973.4050941091,764.540384804976,687.689253879463,1353.12703516978,1525.72238204405,690.209611505016,3860.9149783695,6395.54855887962,4248.55262382332,2389.17385177532,2532.44711156112,3675.69204046194,7265.46766449564,4608.24813408514
4076.41961452622,4809.23711315144,6030.24305736106,0,4971.43274333829,3855.83142953113,3709.9266682587,1364.82867370727,7916.72808648717,2556.32918129238,2727.32055954586,2493.48276437863,2036.86444863898,2877.44416852803,4416.2338328401,3524.39256829297,1984.6819733301,2036.60972294496,2036.60972294496,702.179607388583,1655.30951636461,8367.93908568331,120.382718698036,2654.1970832742,3110.36196860873,5218.03824217654,9026.07486177226,8356.69149369432,2473.26883020325,2473.26883020325,2473.26883020325,2694.32289930656,6027.66957134403,5114.43648130528,2403.70147109267,1760.13750968135,3090.72352177937,3562.63848798158,5443.88026797167,3536.54314211744,1944.89243497456,3063.80826720931,3502.22949672186,2064.06987801368,5218.62391308349,5475.89784495564,4849.91915165229,4672.77396783104,5350.52093801913,8252.40518259308,3043.43404975179,2861.64148477596,3990.9174258099,4646.47001505675,8491.21545098471,1606.12554564141,9076.02121658249
921.596704222732,1131.33740612501,1063.72317222036,4971.43274333829,0,1136.00465963944,1514.70381083188,5743.40948803333,3749.26382942585,1979.55726546709,2349.17624074879,2553.88750794413,3128.28287741924,2419.81629687346,2934.73263012373,3735.34123982313,5844.4295995039,5438.58615195257,5438.58615195257,5642.66525121321,3367.48994970675,4651.72107271978,3324.5389439678,2074.16549758043,2352.41973146859,2453.97922024052,5578.42107714038,4524.93680884428,3255.37397531638,3255.37397531638,3255.37397531638,2920.09453401052,2117.33034946915,4385.7321490543,2979.09319674329,4166.95567917974,1883.7884258791,651.892404239173,726.262188391838,1123.61613883847,3321.57550399216,2627.50214879823,1564.7744303013,2920.55423895325,720.976404817947,573.239109504607,702.73266007015,953.93064555539,379.299005721576,4849.7736760968,5535.70328496457,3376.18628380525,1559.36165278734,2039.56475652129,4770.32858509416,6223.46865271615,5654.54905283369
223.887271075473,620.563094268001,1997.58664674248,3855.83142953113,1136.00465963944,0,511.380980367713,4598.93055030102,3894.51925887775,936.411637418776,1205.10170362448,1410.02354371489,1984.12682304625,1312.80179949612,1889.66412214454,2599.9444753432,4712.57634080192,4347.16186851791,4347.16186851791,4538.06453921564,2375.43711144205,5485.67091615722,2302.80211610074,1042.48035985126,1644.38365241579,1713.09126509923,6359.65979361416,5390.20445056859,2164.215083222,2164.215083222,2164.215083222,2399.26681061622,2881.23259904299,4281.72914496181,1856.09663368078,3039.44579812894,772.560985987895,661.873691169366,1282.79882609716,1036.6047067137,2179.70783420374,1533.13031182875,1333.25566133755,1793.51476451153,1610.34839555821,1697.91786259199,662.278232429767,1326.1345343334,1442.1938824008,5595.23155524305,4422.88064976566,2264.82771797232,423.376810765429,1125.61026015278,5609.20462783632,5177.59464658669,6430.31552577621
677.690414635304,1108.62423930361,2466.17424822901,3709.9266682587,1514.70381083188,511.380980367713,0,4310.85425088154,4347.97964800223,465.598836753751,982.829954113933,1217.92458649959,1720.88978553108,929.310270696178,1864.55733782333,2324.61251059627,4356.9968858607,3924.03991045206,3924.03991045206,4407.67666597109,2452.87972313166,6003.06348185504,2349.27885794479,1128.09799977725,1981.864692337,1968.51605483428,6885.80059966325,5901.76745882527,1744.14050011033,1744.14050011033,1744.14050011033,2777.51980043338,3400.15032375749,4746.94033285729,1496.25695709516,2678.93733416526,840.558532073241,1087.00037799612,1779.91899652416,1466.99246481619,1886.16535092089,1118.58659722147,1756.35115607983,1673.21650429595,2085.17866944534,2087.80616259925,1163.15705469768,1857.2117246146,1862.01709935415,6124.45185838682,4028.02521956414,1873.1608567645,409.757403901073,1325.86797053678,6125.96931473044,5131.39768047315,6957.18418965481
4821.83628312209,5328.83866977966,6762.28140354127,1364.82867370727,5743.40948803333,4598.93055030102,4310.85425088154,0,8157.72055536516,2871.61895332143,3394.38687048248,3193.09457361271,2615.42100702024,3386.73522756703,4118.59050233226,3149.54168718763,708.784705886717,814.432959024477,814.432959024477,1422.80822888336,3019.60251566996,9538.26849929094,1315.47702543561,2183.32420567723,4239.16181629324,5403.84054674663,10245.3807460937,9508.40849741515,2687.30725085823,2687.30725085823,2687.30725085823,4047.84244552499,7093.82866311125,6461.90771353043,2824.40133071988,1178.8950739549,3897.94229489516,4471.59606745342,6090.17290568854,4538.5155078932,2429.13389192044,3384.65197439056,4570.07988040129,2888.69857729209,6118.06627547282,6291.66281169828,5471.17726159869,5631.96069538487,6117.18237362087,9464.78330595428,2068.65446212446,2886.4751040238,4489.41051537444,4933.25471856049,9663.05512499658,2378.37917113818,10299.4373977208
4319.45707562588,3277.7512407473,2920.33390271021,7916.72808648717,3749.26382942585,3894.51925887775,4347.97964800223,8157.72055536516,0,4615.12283704113,5279.78986465823,5512.53823003352,5884.22838700023,5052.53435453608,3746.8823133777,4982.81766026486,7277.07985947533,7088.55718808665,7088.55718808665,8616.81394843836,6795.41776675001,6399.72253087708,6696.54170764777,3578.05299290804,6072.78037956031,2670.67821491064,7336.17825757086,6075.04954474768,5518.79857515406,5518.79857515406,5518.79857515406,6668.74275795032,4886.48338931121,7920.34583186538,5516.0491126454,6462.10476661179,5159.77539652847,4378.23784902301,3046.25520209131,4617.27147555415,5974.45490141546,4864.6407799483,5017.73185155286,5986.00536196436,4088.02077620951,3587.3410859474,3455.27890744413,4619.62237983936,3473.98794485642,6860.44717808778,6960.7798243328,5271.26816828077,3988.70958364284,3273.33544965643,6472.79133015807,9430.18158644168,7419.05721772651
1115.7567238987,1477.72333167202,2925.29697156128,2556.32918129238,1979.55726546709,936.411637418776,465.598836753751,2871.61895332143,4615.12283704113,0,671.893760399834,851.035493618999,649.855715712377,486.755939369096,1708.41817086133,1390.93101699811,2855.04366801291,2441.1765466689,2441.1765466689,3247.99973084521,2097.95607102518,6421.09447260296,1938.02884903491,1083.88367854767,2058.43110847352,2062.894036367,7290.07754890316,6326.57018305772,242.989567639397,242.989567639397,242.989567639397,2867.29256577211,3816.77192798711,4919.61002410386,236.764330939295,1185.90107965439,840.157001075486,1318.88308118825,2223.02676583575,1668.33812985767,630.931043040016,523.7940402684,1932.29699110558,1090.75153825497,2532.16858060039,2552.42542269429,1602.57877969007,2256.42486921966,2327.48904636295,6522.54556971863,2589.67986956981,621.111958995774,647.10136159623,1421.7997210301,6544.78249443627,4129.4383693174,7360.02257208443
