"1","2","3","4","5","6","7","8","9","10"
0,4846.49733878736,3577.34737598522,3360.29197561479,7990.14518565532,5593.0835653029,8516.33932233846,6267.44454452119,6342.68860179397,7782.57918477514
4846.49733878736,0,1427.54250900795,4535.25416727563,3744.12805770228,840.231701887523,3671.80799824197,3986.86459533355,3700.95430945736,5439.10454228483
3577.34737598522,1427.54250900795,0,3216.08753026414,4506.45550245395,2049.67428260244,5033.19202853635,3666.2922409848,3525.81455825898,5255.99640811267
3360.29197561479,4535.25416727563,3216.08753026414,0,6113.67035097116,4869.88873630729,7733.96353432456,3504.70911462386,3753.58492717659,4777.45177295171
7990.14518565532,3744.12805770228,4506.45550245395,6113.67035097116,0,2935.76598770095,2896.15616701015,3070.7573905929,2647.49014801697,3414.75723529216
5593.0835653029,840.231701887523,2049.67428260244,4869.88873630729,2935.76598770095,0,2992.48406434639,3649.22405577627,3300.25343907057,4970.1935276512
8516.33932233846,3671.80799824197,5033.19202853635,7733.96353432456,2896.15616701015,2992.48406434639,0,5543.00198974553,5103.88551120812,6253.55191711925
6267.44454452119,3986.86459533355,3666.2922409848,3504.70911462386,3070.7573905929,3649.22405577627,5543.00198974553,0,441.528498907293,1601.93089136964
6342.68860179397,3700.95430945736,3525.81455825898,3753.58492717659,2647.49014801697,3300.25343907057,5103.88551120812,441.528498907293,0,1757.32375594823
7782.57918477514,5439.10454228483,5255.99640811267,4777.45177295171,3414.75723529216,4970.1935276512,6253.55191711925,1601.93089136964,1757.32375594823,0
