,lambda,iteration,num sols,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SATVars
90,0.05,18,18,,231.804,,0,84.665,1,0,607148,
91,0.05,19,18,,232.272,,0,79.283,1,0,606865,
92,0.05,20,16,,231.452,,0,82.408,1,0,601528,
93,0.05,21,22,,227.6,,0,83.115,1,0,607194,
94,0.05,22,16,,227.394,,0,78.642,1,0,607228,
95,0.05,23,16,,234.908,,0,79.259,1,0,603089,
96,0.05,24,24,,233.731,,0,86.982,1,0,600362,
97,0.05,25,20,,235.107,,0,89.114,1,0,604813,
98,0.05,26,18,,228.605,,0,92.484,1,0,607237,
99,0.05,27,23,,231.316,,0,94.565,1,0,607023,
100,0.05,28,20,,233.903,,0,93.053,1,0,606788,
101,0.05,29,10,,230.543,,0,84.897,1,0,607131,
102,0.06,0,24,,230.468,,0,87.669,1,0,594561,
103,0.06,1,19,,226.945,,0,91.437,1,0,600860,
104,0.06,2,21,,229.174,,0,86.729,1,0,605458,
105,0.06,3,18,,229.316,,0,86.212,1,0,606969,
106,0.06,4,17,,228.56,,0,91.346,1,0,599594,
107,0.06,5,20,,232.748,,0,90.096,1,0,605890,
108,0.06,6,16,,238.109,,0,93.666,1,0,606431,
109,0.06,7,24,,228.532,,0,86.127,1,0,605962,
110,0.06,8,19,,232.28,,0,90.036,1,0,607176,
111,0.06,9,23,,229.227,,0,89.012,1,0,606395,
112,0.06,10,25,,232.125,,0,95.288,1,0,606233,
113,0.06,11,23,,233.261,,0,85.847,1,0,607193,
114,0.06,12,26,,227.588,,0,88.346,1,0,607241,
115,0.06,13,26,,239.909,,0,81.976,1,0,601563,
116,0.06,14,25,,228.708,,0,88.269,1,0,606960,
117,0.06,15,21,,228.334,,0,87.748,1,0,607112,
118,0.06,16,17,,233.912,,0,80.993,1,0,603959,
119,0.06,17,22,,234.189,,0,85.619,1,0,603135,
120,0.06,18,16,,231.414,,0,78.615,1,0,606858,
121,0.06,19,16,,228.751,,0,86.637,1,0,595459,
122,0.06,20,19,,229.18,,0,86.595,1,0,607032,
123,0.06,21,15,,231.659,,0,87.011,1,0,604812,
124,0.06,22,21,,228.644,,0,79.485,1,0,607079,
125,0.06,23,9,,232.36,,0,82.309,1,0,606727,
126,0.06,24,14,,235.371,,0,73.549,1,0,604124,
127,0.06,25,29,,227.144,,0,78.747,1,0,605316,
128,0.06,26,17,,234.945,,0,90.614,1,0,604555,
129,0.06,27,23,,231.087,,0,85.246,1,0,584547,
130,0.06,28,23,,230.943,,0,86.993,1,0,605096,
131,0.06,29,16,,229.76,,0,91.157,1,0,606848,
132,0.07,0,27,,231.145,,0,89.539,1,0,604550,
